,,,,,,
Year,Date,,,"Local
Time",Event,
2020,Jan,1,We,,Venus: 34.6° E,
,,4,Sa,08:38,Quadrantid Shower: ZHR = 120,
,,5,Su,09:59,Perihelion: 0.9832 AU,
,,10,Fr,15:01,Mercury Superior Conj.,
,,10,Fr,19:10,Pen. Lunar Eclipse,
,,11,Sa,23:54,Moon-Beehive: 1° S,
,,13,Mo,14:23,Saturn Conjunction,
,,17,Fr,23:03,Mars-Antares: 4.8° N,
,,20,Mo,19:13,Moon-Mars: 2.4° S,
,,23,Th,02:42,Moon-Jupiter: 0.4° N,
,,28,Tu,07:29,Moon-Venus: 4.5° N,
,Feb,1,Sa,,Venus: 40.4° E,
,,8,Sa,10:16,Moon-Beehive: 1° S,
,,10,Mo,13:59,Mercury Elongation: 18.2° E,
,,18,Tu,13:18,Moon-Mars: 0.8° S,
,,19,We,19:36,Moon-Jupiter: 1° N,
,,20,Th,13:47,Moon-Saturn: 1.9° N,
,,26,We,01:37,Mercury Inferior Conj.,
,,27,Th,11:51,Moon-Venus: 7° N,
,Mar,1,Su,,Venus: 44.6° E,
,,6,Fr,21:08,Moon-Beehive: 1.1° S,
,,8,Su,12:09,Neptune Conjunction,
,,18,We,08:19,Moon-Mars: 0.8° N,
,,18,We,10:18,Moon-Jupiter: 1.6° N,
,,19,Th,00:04,Moon-Saturn: 2.3° N,
,,20,Fr,03:50,Vernal Equinox,
,,20,Fr,10:24,Mars-Jupiter: 0.7° N,
,,21,Sa,17:48,Moon-Mercury: 4° N,
,,24,Tu,01:59,Mercury Elongation: 27.8° W,
,,24,Tu,21:59,Venus Elongation: 46.1° E,
,,31,Tu,20:00,Mars-Saturn: 0.9° N,
,Apr,1,We,,Venus: 45.9° E,
,,3,Fr,06:24,Moon-Beehive: 1.3° S,
,,3,Fr,14:39,Venus-Pleiades: 0.3° S,
,,14,Tu,23:04,Moon-Jupiter: 2.1° N,
,,15,We,09:26,Moon-Saturn: 2.6° N,
,,16,Th,04:33,Moon-Mars: 2.2° N,
,,22,We,06:07,Lyrid Shower: ZHR = 20,
,,26,Su,10:19,Uranus Conjunction,
,,26,Su,15:23,Moon-Venus: 6.6° N,
,,30,Th,13:17,Moon-Beehive: 1.6° S,
,May,1,Fr,,Venus: 38° E,
,,4,Mo,19:21,Eta Aquarid Shower: ZHR = 60,
,,4,Mo,21:22,Mercury Superior Conj.,
,,12,Tu,09:40,Moon-Jupiter: 2.4° N,
,,12,Tu,18:18,Moon-Saturn: 2.8° N,
,,15,Fr,02:01,Moon-Mars: 3° N,
,,18,Mo,01:13,Jupiter-Saturn: 4.8° N,
,,22,Fr,09:37,Mercury-Venus: 0.9° N,
,,24,Su,02:40,Moon-Venus: 4° N,
,,24,Su,10:53,Moon-Mercury: 3° N,
,,27,We,18:44,Moon-Beehive: 1.8° S,
,Jun,1,Mo,,Venus: 3.7° E,
,,3,We,17:42,Venus Inferior Conj.,
,,4,Th,12:59,Mercury Elongation: 23.6° E,
,,5,Fr,19:25,Pen. Lunar Eclipse,
,,8,Mo,17:19,Moon-Jupiter: 2.3° N,
,,9,Tu,02:19,Moon-Saturn: 2.8° N,
,,12,Fr,23:53,Moon-Mars: 3° N,
,,19,Fr,08:52,Moon-Venus: 0.8° S,
,,20,Sa,21:43,Summer Solstice,
,,21,Su,06:40,Annular Solar Eclipse,
,,24,We,00:33,Moon-Beehive: 1.8° S,
,Jul,1,We,02:45,Mercury Inferior Conj.,
,,1,We,,Venus: 34.3° W,
,,4,Sa,14:59,Aphelion: 1.0167 AU,
,,5,Su,04:30,Pen. Lunar Eclipse,
,,5,Su,21:37,Moon-Jupiter: 1.9° N,
,,6,Mo,08:45,Moon-Saturn: 2.6° N,
,,11,Sa,12:17,Venus-Aldebaran: 1° N,
,,11,Sa,19:36,Moon-Mars: 2.2° N,
,,14,Tu,07:03,Jupiter Opposition,
,,17,Fr,07:26,Moon-Venus: 3.4° S,
,,20,Mo,21:33,Saturn Opposition,
,,22,We,14:59,Mercury Elongation: 20.1° W,
,,27,Mo,21:08,Delta Aquarid Shower: ZHR = 20,
,Aug,1,Sa,,Venus: 45.2° W,
,,1,Sa,20:14,Mercury-Pollux: 6.7° S,
,,1,Sa,23:30,Moon-Jupiter: 1.6° N,
,,2,Su,13:17,Moon-Saturn: 2.4° N,
,,9,Su,07:57,Moon-Mars: 0.8° N,
,,12,We,13:02,Perseid Shower: ZHR = 90,
,,13,Th,00:59,Venus Elongation: 45.8° W,
,,15,Sa,13:01,Moon-Venus: 4.2° S,
,,17,Mo,14:47,Mercury Superior Conj.,
,,29,Sa,01:33,Moon-Jupiter: 1.5° N,
,,29,Sa,16:40,Moon-Saturn: 2.3° N,
,Sep,1,Tu,,Venus: 44.7° W,
,,6,Su,04:42,Moon-Mars: 0°,
,,11,Fr,19:15,Neptune Opposition,
,,13,Su,00:10,Venus-Beehive: 2.6° S,
,,14,Mo,03:19,Moon-Beehive: 1.9° S,
,,14,Mo,04:43,Moon-Venus: 4.6° S,
